game,strategy,trainThroughDraw,targetDraw,ticket,actual,bonus,mainMatches,bonusMatches,prizeTier,payoutYen
loto6,sougaku_delete,336,337,11 17 22 30 36 39,5 15 16 20 34 39,29,1,0,,0
loto6,mixed,336,337,21 22 25 30 35 37,5 15 16 20 34 39,29,0,0,,0
loto6,balance,337,338,7 11 17 22 30 36,8 10 25 31 39 40,35,0,0,,0
loto6,frequent,337,338,15 17 30 31 36 39,8 10 25 31 39 40,35,2,0,,0
loto6,overdue,337,338,21 22 25 27 30 35,8 10 25 31 39 40,35,1,1,,0
loto6,high_payout,337,338,17 22 30 33 36 39,8 10 25 31 39 40,35,1,0,,0
loto6,random,337,338,3 5 24 35 38 43,8 10 25 31 39 40,35,0,1,,0
loto6,sougaku_delete,337,338,7 17 22 30 36 39,8 10 25 31 39 40,35,1,0,,0
loto6,mixed,337,338,11 17 22 31 36 39,8 10 25 31 39 40,35,2,0,,0
loto6,balance,338,339,1 11 17 30 36 39,3 5 9 26 34 36,12,1,0,,0
loto6,frequent,338,339,1 17 30 31 36 39,3 5 9 26 34 36,12,1,0,,0
loto6,overdue,338,339,21 22 27 30 35 37,3 5 9 26 34 36,12,0,0,,0
loto6,high_payout,338,339,11 22 33 36 38 39,3 5 9 26 34 36,12,1,0,,0
loto6,random,338,339,5 12 18 36 39 43,3 5 9 26 34 36,12,2,1,,0
loto6,sougaku_delete,338,339,15 17 20 30 36 39,3 5 9 26 34 36,12,1,0,,0
loto6,mixed,338,339,7 22 33 36 38 39,3 5 9 26 34 36,12,1,0,,0
loto6,balance,339,340,15 17 22 30 36 39,4 10 13 31 35 42,7,0,0,,0
loto6,frequent,339,340,11 15 17 31 36 39,4 10 13 31 35 42,7,1,0,,0
loto6,overdue,339,340,22 27 30 35 37 38,4 10 13 31 35 42,7,1,0,,0
loto6,high_payout,339,340,33 35 36 37 38 39,4 10 13 31 35 42,7,1,0,,0
loto6,random,339,340,7 8 12 28 31 38,4 10 13 31 35 42,7,1,1,,0
loto6,sougaku_delete,339,340,11 17 22 30 36 39,4 10 13 31 35 42,7,0,0,,0
loto6,mixed,339,340,1 15 17 31 36 39,4 10 13 31 35 42,7,1,0,,0
loto6,balance,340,341,15 17 22 30 36 39,4 14 23 25 28 35,41,0,0,,0
loto6,frequent,340,341,5 15 17 31 36 39,4 14 23 25 28 35,41,0,0,,0
loto6,overdue,340,341,21 22 28 30 33 37,4 14 23 25 28 35,41,1,0,,0
loto6,high_payout,340,341,7 17 22 36 38 41,4 14 23 25 28 35,41,0,1,,0
loto6,random,340,341,7 22 29 30 36 40,4 14 23 25 28 35,41,0,0,,0
loto6,sougaku_delete,340,341,15 17 18 22 36 39,4 14 23 25 28 35,41,0,0,,0
loto6,mixed,340,341,9 22 25 36 38 41,4 14 23 25 28 35,41,1,1,,0
loto6,balance,341,342,3 7 17 30 36 39,8 15 26 27 34 38,10,0,0,,0
loto6,frequent,341,342,3 7 17 31 36 39,8 15 26 27 34 38,10,0,0,,0
loto6,overdue,341,342,12 22 27 30 33 37,8 15 26 27 34 38,10,1,0,,0
loto6,high_payout,341,342,7 22 33 36 37 38,8 15 26 27 34 38,10,1,0,,0
loto6,random,341,342,5 6 16 20 39 43,8 15 26 27 34 38,10,0,0,,0
loto6,sougaku_delete,341,342,15 17 22 30 36 39,8 15 26 27 34 38,10,1,0,,0
loto6,mixed,341,342,3 17 22 30 36 39,8 15 26 27 34 38,10,0,0,,0
loto6,balance,342,343,7 11 17 30 36 39,13 28 29 37 38 41,35,0,0,,0
loto6,frequent,342,343,3 15 17 31 36 39,13 28 29 37 38 41,35,0,0,,0
loto6,overdue,342,343,21 22 30 33 37 43,13 28 29 37 38 41,35,1,0,,0
loto6,high_payout,342,343,17 22 30 36 39 41,13 28 29 37 38 41,35,1,0,,0
loto6,random,342,343,1 13 17 30 33 38,13 28 29 37 38 41,35,2,0,,0
loto6,sougaku_delete,342,343,7 17 20 22 36 39,13 28 29 37 38 41,35,0,0,,0
loto6,mixed,342,343,5 17 22 30 36 39,13 28 29 37 38 41,35,0,0,,0
loto6,balance,343,344,1 17 22 30 36 39,8 11 16 20 28 36,42,1,0,,0
loto6,frequent,343,344,5 15 17 31 36 39,8 11 16 20 28 36,42,1,0,,0
