"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"330","2007-02-15","","0","5","69426800"
"331","2007-02-22","","0","21","16619900"
"332","2007-03-01","","166985277","1","200000000"
"333","2007-03-08","","193805491","1","400000000"
"334","2007-03-15","","0","5","127946200"
"335","2007-03-22","","0","2","176764900"
"336","2007-03-29","","142382016","1","200000000"
"337","2007-04-05","","0","2","286729500"
"338","2007-04-12","","158712142","1","200000000"
"339","2007-04-19","","0","4","144874000"
"340","2007-04-26","","0","3","125206400"
"341","2007-05-03","","0","2","167679400"
"342","2007-05-10","","0","7","47713500"
"343","2007-05-17","","0","3","122221000"
"344","2007-05-24","","0","7","47837300"
"345","2007-05-31","","161031732","1","200000000"
"346","2007-06-07","","0","2","275055600"
"347","2007-06-14","","0","2","175074200"
"348","2007-06-21","","0","4","83409800"
"349","2007-06-28","","156226705","1","200000000"
"350","2007-07-05","","0","5","117204300"
"351","2007-07-12","","0","3","122807000"
"352","2007-07-19","","0","2","168600600"
"353","2007-07-26","","0","3","111962100"
"354","2007-08-02","","0","4","86609200"
"355","2007-08-09","","129310297","1","200000000"
"356","2007-08-16","","0","8","57225400"
"357","2007-08-23","","0","2","159167600"
"358","2007-08-30","","0","5","74317800"
"359","2007-09-06","","0","7","44620000"
"360","2007-09-13","","0","3","109515400"
"361","2007-09-20","","155254196","1","200000000"
"362","2007-09-27","","155988946","1","400000000"
"363","2007-10-04","","0","4","135647000"
"364","2007-10-11","","123559186","1","200000000"
"365","2007-10-18","","0","8","65370900"
"366","2007-10-25","","149473061","1","200000000"
"367","2007-11-01","","573641861","0","0"
"368","2007-11-08","","0","7","162710200"
"369","2007-11-15","","0","2","175763000"
"370","2007-11-22","","0","3","122240300"
"371","2007-11-29","","0","2","187511200"
"372","2007-12-06","","0","7","49670900"
"373","2007-12-13","","0","2","183116900"
"374","2007-12-20","","173275826","1","200000000"
"375","2007-12-27","","0","7","85281700"
"376","2008-01-10","","229208996","1","200000000"
"377","2008-01-17","","0","3","229941100"
"378","2008-01-24","","373680466","0","0"
"379","2008-01-31","","83541865","2","400000000"
"380","2008-02-07","","154457620","1","400000000"
"381","2008-02-14","","216556788","1","400000000"
"382","2008-02-21","","0","5","145712100"
"383","2008-02-28","","157062818","1","200000000"
"384","2008-03-06","","0","2","315257400"
"385","2008-03-13","","215450404","1","200000000"
"386","2008-03-20","","0","7","84544000"
"387","2008-03-27","","0","4","92433900"
"388","2008-04-03","","0","2","178489700"
"389","2008-04-10","","0","5","69907800"
"390","2008-04-17","","0","4","89878900"
"391","2008-04-24","","0","3","114851700"
"392","2008-05-01","","0","6","56764100"
"393","2008-05-08","","0","2","173104900"
"394","2008-05-15","","360112917","0","0"
"395","2008-05-22","","812785066","0","0"
"396","2008-05-29","","0","6","235393800"
"397","2008-06-05","","160074643","1","200000000"
"398","2008-06-12","","214752039","1","400000000"
"399","2008-06-19","","0","5","130837500"
"400","2008-06-26","","0","4","91116600"
"401","2008-07-03","","0","8","46775300"
"402","2008-07-10","","0","2","177704700"
"403","2008-07-17","","161098341","1","200000000"
"404","2008-07-24","","0","4","139117700"
"405","2008-07-31","","0","2","175637000"
"406","2008-08-07","","349343178","0","0"
"407","2008-08-14","","0","3","250783000"
"408","2008-08-21","","143879862","1","200000000"
"409","2008-08-28","","0","6","88449700"
"410","2008-09-04","","199416745","1","200000000"
"411","2008-09-11","","0","2","320327800"
"412","2008-09-18","","0","2","174393800"
"413","2008-09-25","","0","2","176762900"
"414","2008-10-02","","0","9","37013100"
"415","2008-10-09","","0","3","122294100"
"416","2008-10-16","","0","4","83817100"
"417","2008-10-23","","0","7","47161500"
"418","2008-10-30","","0","5","68409400"
"419","2008-11-06","","0","6","56856200"
"420","2008-11-13","","158669748","1","200000000"
"421","2008-11-20","","557769048","0","0"
"422","2008-11-27","","0","6","175377500"
"423","2008-12-04","","0","7","54458300"
"424","2008-12-11","","0","5","73205100"
"425","2008-12-18","","0","3","126522400"
"426","2008-12-25","","379846586","0","0"
"427","2009-01-08","","501345283","1","400000000"
"428","2009-01-15","","260645829","2","400000000"
"429","2009-01-22","","0","6","124626900"
"430","2009-01-29","","0","9","45402100"
"431","2009-02-05","","0","5","80148800"
"432","2009-02-12","","196225409","1","200000000"
"433","2009-02-19","","0","2","311043700"
"434","2009-02-26","","0","2","177908600"
"435","2009-03-05","","0","5","68935600"
"436","2009-03-12","","0","12","28645400"
"437","2009-03-19","","150092785","1","200000000"
"438","2009-03-26","","0","3","180663800"
"439","2009-04-02","","174128470","1","200000000"
"440","2009-04-09","","0","2","290149600"
"441","2009-04-16","","182760744","1","200000000"
"442","2009-04-23","","0","2","307923300"
"443","2009-04-30","","0","3","119517000"
"444","2009-05-07","","0","7","46888600"
"445","2009-05-14","","0","3","121570500"
"446","2009-05-21","","0","8","38559600"
"447","2009-05-28","","0","4","88208400"
"448","2009-06-04","","342760382","0","0"
"449","2009-06-11","","0","3","267032600"
"450","2009-06-18","","0","2","187581700"
"451","2009-06-25","","0","3","115968300"
"452","2009-07-02","","154890181","1","200000000"
"453","2009-07-09","","0","4","139198600"
"454","2009-07-16","","0","2","172374800"
"455","2009-07-23","","344887602","0","0"
"456","2009-07-30","","0","6","124171600"
"457","2009-08-06","","356528307","0","0"
"458","2009-08-13","","0","2","389430700"
"459","2009-08-20","","0","5","66346300"
"460","2009-08-27","","0","2","181193700"
"461","2009-09-03","","155487414","1","200000000"
"462","2009-09-10","","170002065","1","400000000"
"463","2009-09-17","","0","2","302909200"
"464","2009-09-24","","0","3","115943100"
"465","2009-10-01","","153752840","1","200000000"
"466","2009-10-08","","0","2","282223000"
"467","2009-10-15","","161707398","1","200000000"
"468","2009-10-22","","0","6","96632000"
"469","2009-10-29","","155586703","1","200000000"
"470","2009-11-05","","0","3","190687700"
"471","2009-11-12","","148143871","1","200000000"
"472","2009-11-19","","0","5","108556500"
"473","2009-11-26","","0","4","86978400"
"474","2009-12-03","","0","4","84734500"
"475","2009-12-10","","0","5","66677900"
"476","2009-12-17","","0","5","69405900"
"477","2009-12-24","","0","2","185142100"
"478","2010-01-07","","0","4","97985600"
"479","2010-01-14","","334091926","0","0"
"480","2010-01-21","","0","5","162529400"
"481","2010-01-28","","0","7","52528600"
"482","2010-02-04","","185205326","1","200000000"
"483","2010-02-11","","0","5","117617400"
"484","2010-02-18","","366827066","0","0"
"485","2010-02-25","","0","5","169451600"
"486","2010-03-04","","0","2","183823800"
"487","2010-03-11","","142982442","1","200000000"
"488","2010-03-18","","0","6","95637700"
"489","2010-03-25","","0","2","165569500"
"490","2010-04-01","","0","9","38002200"
"491","2010-04-08","","0","2","175121000"
"492","2010-04-15","","0","3","112832800"
"493","2010-04-22","","162923672","1","200000000"
"494","2010-04-29","","0","2","275247400"
"495","2010-05-06","","0","2","172205100"
"496","2010-05-13","","0","2","174851300"
"497","2010-05-20","","0","2","168004700"
"498","2010-05-27","","0","3","122945500"
"499","2010-06-03","","0","5","61831300"
"500","2010-06-10","","329751773","0","0"
"501","2010-06-17","","0","3","250666200"
"502","2010-06-24","","0","3","112499300"
"503","2010-07-01","","338627846","0","0"
"504","2010-07-08","","0","2","389247400"
"505","2010-07-15","","0","2","173454100"
"506","2010-07-22","","105233732","1","200000000"
"507","2010-07-29","","0","5","94246300"
"508","2010-08-05","","0","2","160256700"
"509","2010-08-12","","0","8","33283400"
"510","2010-08-19","","0","2","165406800"
"511","2010-08-26","","129522708","1","200000000"
"512","2010-09-02","","521203478","0","0"
"513","2010-09-09","","225321048","2","400000000"
"514","2010-09-16","","0","4","162511800"
"515","2010-09-23","","0","2","158927600"
"516","2010-09-30","","0","7","47592700"
"517","2010-10-07","","0","5","63548100"
"518","2010-10-14","","350353170","0","0"
"519","2010-10-21","","370281518","1","400000000"
"520","2010-10-28","","0","2","390605500"
"521","2010-11-04","","0","3","108565700"
"522","2010-11-11","","115546724","1","200000000"
"523","2010-11-18","","0","2","254076500"
"524","2010-11-25","","0","3","111882600"
"525","2010-12-02","","0","2","164193200"
"526","2010-12-09","","0","6","50949600"
"527","2010-12-16","","0","12","26477800"
"528","2010-12-23","","0","3","108386000"
"529","2010-12-30","","0","3","113263900"
"530","2011-01-06","","0","2","147676000"
"531","2011-01-13","","0","4","78364400"
"532","2011-01-20","","0","4","84134600"
"533","2011-01-27","","338087603","0","0"
"534","2011-02-03","","0","3","260126800"
"535","2011-02-10","","0","2","158577900"
"536","2011-02-17","","0","3","106394100"
"537","2011-02-24","","0","4","82263100"
"538","2011-03-03","","0","6","47501800"
"539","2011-03-10","","0","3","100041200"
"540","2011-03-17","","0","2","135523300"
"541","2011-03-24","","0","2","147042700"
"542","2011-03-31","","0","2","148400100"
"543","2011-04-04","","16529901","1","200000000"
"544","2011-04-07","","0","1","291430300"
"545","2011-04-11","","0","5","43344900"
"546","2011-04-14","","252398526","0","0"
"547","2011-04-18","","128575535","1","400000000"
"548","2011-04-21","","0","3","131851000"
"549","2011-04-25","","0","2","103276900"
"550","2011-04-28","","0","2","123179400"
"551","2011-05-02","","0","2","111725000"
"552","2011-05-05","","0","3","71653900"
"553","2011-05-09","","187430365","0","0"
"554","2011-05-12","","0","2","228838200"
"555","2011-05-16","","0","2","104317600"
"556","2011-05-19","","0","3","70910400"
"557","2011-05-23","","0","4","49388600"
"558","2011-05-26","","0","2","120430500"
