"回号","抽せん日","本数字1","本数字2","本数字3","本数字4","本数字5","本数字6","本数字7","ボーナス数字1","ボーナス数字2","販売実績額","キャリーオーバー","1等口数","1等当せん金額","2等口数","2等当せん金額","3等口数","3等当せん金額","4等口数","4等当せん金額","5等口数","5等当せん金額","6等口数","6等当せん金額","データソース","取得日時","検証状態"
"60","2014-05-30","3","7","9","15","16","23","34","5","33","","0","1","636917600","10","9951000","203","686200","9309","8700","131989","1500","207951","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"61","2014-06-06","5","10","11","21","28","31","37","13","14","","0","1","231978000","5","15005200","110","954800","4819","12700","73709","2000","124174","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"62","2014-06-13","4","10","12","15","27","32","33","9","16","","234614670","0","0","6","12590700","115","919600","5329","11600","82357","1800","137777","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"63","2014-06-20","4","8","19","24","28","30","32","12","37","","0","1","524339700","15","6457200","180","753300","7737","10200","107083","1800","167728","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"64","2014-06-27","4","15","16","17","20","29","36","19","26","","235685240","0","0","2","38773400","71","1529000","4186","15200","72498","2100","110154","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"65","2014-07-04","4","7","12","22","23","24","28","25","34","","510891905","0","0","13","7294900","184","721500","8698","8900","127318","1500","189206","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"66","2014-07-11","1","11","25","28","31","33","37","3","20","","829816620","0","0","3","35602400","104","1437700","5619","15600","99107","2100","172089","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"67","2014-07-18","7","11","15","17","18","25","35","6","33","","1181533320","0","0","13","9336100","166","1023500","7610","13000","121393","2000","220199","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"68","2014-07-25","2","7","13","15","24","34","35","12","23","","808528740","1","800000000","25","5519400","210","919800","10354","10900","152027","1800","281508","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"69","2014-08-01","13","17","20","22","28","29","37","11","12","","363873750","1","800000000","9","13107500","118","1399600","5961","16200","99657","2400","179019","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"70","2014-08-08","9","10","18","21","27","33","35","4","11","","0","3","222116800","15","6723700","163","866200","7266","11400","102768","1900","178645","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"71","2014-08-15","1","6","13","29","34","35","37","2","15","","225783715","0","0","2","37959300","61","1742300","3423","18200","61037","2500","118919","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"72","2014-08-22","11","12","18","19","20","31","32","9","21","","0","5","103896700","35","2815300","120","1149500","5236","15400","84053","2300","145081","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"73","2014-08-29","12","16","23","25","27","30","32","28","33","","239746775","0","0","9","8881600","96","1165600","4888","13400","79551","2000","137375","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"74","2014-09-05","5","13","14","15","16","24","31","9","11","","538287400","0","0","9","10902000","115","1194400","6063","13200","100706","1900","168688","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"75","2014-09-12","4","9","15","17","19","35","37","10","20","","0","2","434459600","9","12033700","107","1417000","5858","15100","102544","2100","164397","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"76","2014-09-19","4","13","18","29","32","34","36","24","33","","0","1","241111000","5","15503500","131","828400","4941","12800","76086","2000","141102","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"77","2014-09-26","3","10","23","25","26","28","30","15","29","","220682015","0","0","8","9431900","99","1067000","4833","12600","79505","1900","134731","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"78","2014-10-03","5","6","10","14","24","28","36","7","20","","0","2","245019800","8","11188900","134","935100","6232","11700","93845","1900","153240","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"79","2014-10-10","2","4","7","9","21","29","37","6","36","","213723005","0","0","8","9076100","83","1224700","4630","12800","76764","1900","127730","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"80","2014-10-17","2","5","10","18","21","24","27","25","34","","482184370","0","0","6","15082300","161","786800","6067","12200","91076","2000","142350","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"81","2014-10-24","1","3","10","18","28","31","35","9","21","","805203145","0","0","10","10885100","117","1302400","6097","14600","101530","2100","176500","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"82","2014-10-31","1","3","16","20","25","27","34","18","37","","1195576075","0","0","10","13060900","117","1562800","6744","15900","116324","2200","191383","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"83","2014-11-07","1","11","21","26","28","32","35","18","22","","1619633575","0","0","11","13156900","118","1717000","7047","16800","123990","2300","218185","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"84","2014-11-14","8","16","23","28","29","35","36","12","37","","2095793915","0","0","23","6770600","236","923700","12518","10200","180209","1700","291170","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"85","2014-11-21","6","7","10","11","22","26","35","14","23","","1808128280","1","800000000","22","7538600","242","959400","10771","12600","170753","1900","306651","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"86","2014-11-28","3","10","20","21","22","26","30","24","35","","1416245085","1","800000000","16","8694200","153","1272800","7353","15500","120914","2300","205807","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"87","2014-12-05","8","9","12","18","20","28","31","13","15","","1790275855","0","0","13","9776900","138","1289400","7821","13300","127559","2000","223589","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"88","2014-12-12","3","4","10","14","25","29","30","18","19","","2182851930","0","0","11","12013600","177","1045200","8800","12300","136071","1900","235427","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"89","2014-12-19","1","3","11","26","28","34","36","17","20","","2591414655","0","0","12","11582900","159","1223800","8388","13600","138336","2000","224541","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"90","2014-12-26","2","8","9","13","14","18","37","11","25","","2234360775","1","800000000","15","10036600","153","1377500","8377","14700","142874","2100","267154","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"91","2015-01-09","1","5","7","14","15","25","35","18","24","","2671288235","0","0","18","8186000","315","654800","11332","10600","162096","1800","260376","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"92","2015-01-16","4","5","15","25","26","29","32","11","27","","2276371255","1","800000000","9","15195400","162","1181800","7853","14300","133466","2000","245160","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"93","2015-01-23","2","5","11","14","17","30","32","31","37","","1052449145","2","800000000","10","12969400","139","1306200","7146","14900","117498","2200","196034","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"94","2015-01-30","13","19","20","27","28","29","30","26","36","","0","2","705794000","8","15220500","120","1420500","6192","16100","104231","2300","181697","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"95","2015-02-06","1","8","13","14","18","30","34","26","36","","268239710","0","0","5","18009000","89","1416400","4775","15400","79565","2200","146366","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"96","2015-02-13","9","11","14","21","22","23","24","10","36","","573705620","0","0","15","6898400","130","1114300","6426","13200","103877","2000","180889","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"97","2015-02-20","7","13","14","16","22","24","35","1","29","","99001930","1","800000000","16","6932900","129","1203800","6927","13100","111308","2000","178510","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"98","2015-02-27","3","9","11","13","19","25","33","10","30","","387567960","0","0","18","5366700","189","715500","7746","10200","109792","1700","172961","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"99","2015-03-06","13","17","22","24","27","28","35","11","19","","0","1","699064600","11","9328000","131","1096500","6826","12300","105445","1900","176597","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"100","2015-03-13","1","2","11","16","25","35","36","9","14","","248837600","0","0","6","14043600","76","1552100","4479","15400","78016","2100","152645","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"101","2015-03-20","11","12","21","23","28","36","37","3","16","","546062785","0","0","9","10648500","147","912700","5973","13100","97792","1900","177936","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"102","2015-03-27","1","4","8","27","28","29","31","13","25","","0","3","295337700","14","7795200","155","985700","7215","12400","117503","1800","200661","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"103","2015-04-03","2","3","11","12","22","35","36","30","34","","237715660","0","0","3","27272900","134","854800","5989","11200","91551","1800","133012","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"104","2015-04-10","7","9","11","15","16","22","37","12","13","","0","1","523951100","7","13662100","129","1037800","6241","12500","98767","1900","168004","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"105","2015-04-17","3","15","19","20","26","28","33","17","21","","0","1","248384000","12","6977900","116","1010500","5412","12700","85105","1900","137748","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"106","2015-04-24","6","10","12","19","21","22","30","1","11","","242369330","0","0","10","8217800","105","1095600","4888","13800","78353","2100","144248","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"107","2015-05-01","3","8","9","13","17","27","33","29","31","","543591915","0","0","15","6523000","165","830100","7623","10500","112363","1700","182521","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"108","2015-05-08","2","6","7","8","28","30","36","18","21","","856434470","0","0","15","6899600","164","883400","7155","11800","111653","1800","180825","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"109","2015-05-15","6","17","20","21","24","30","32","7","23","","1194796700","0","0","7","16296700","116","1376700","5373","17400","90074","2500","168077","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"110","2015-05-22","4","12","22","30","31","35","36","19","37","","1552785590","0","0","5","24076400","97","1737400","5982","16500","107601","2200","193433","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"111","2015-05-29","7","8","9","24","28","30","33","1","34","","1156138945","1","800000000","20","6520500","462","395100","9785","10900","141811","1800","216444","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"112","2015-06-05","6","7","10","15","27","35","36","13","20","","1500897975","0","0","11","10423500","185","867600","7596","12300","124932","1800","200050","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"113","2015-06-12","4","6","7","9","15","17","37","14","20","","1865147520","0","0","5","24776900","143","1212800","8092","12500","131713","1900","197180","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"114","2015-06-19","8","13","26","27","28","29","37","4","12","","1458876495","1","800000000","13","10381400","176","1073500","9938","11100","149653","1800","269436","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"115","2015-06-26","6","8","13","14","20","25","27","24","26","","1019016770","1","800000000","12","10371300","208","837600","8562","11900","132365","1900","223347","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"116","2015-07-03","9","14","23","27","28","31","32","3","20","","585423220","1","800000000","7","16907200","159","1042000","8032","12100","121251","1900","196929","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"117","2015-07-10","9","10","20","28","31","34","37","23","26","","913053470","0","0","4","27178600","99","1537300","5050","17600","87904","2500","165536","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
