game,drawNumber,drawDate,mainNumbers,bonusNumbers,salesAmount,carryoverAmount,prizeTiers
"loto6","39","2001-06-28","10 18 22 25 39 42","17","","0","[{""tier"":1,""winners"":8,""prizeYen"":67318200},{""tier"":2,""winners"":21,""prizeYen"":12536100},{""tier"":3,""winners"":980,""prizeYen"":322300},{""tier"":4,""winners"":40602,""prizeYen"":6800},{""tier"":5,""winners"":495866,""prizeYen"":1000}]"
"loto6","40","2001-07-05","5 17 25 34 38 39","2","","0","[{""tier"":1,""winners"":2,""prizeYen"":118547100},{""tier"":2,""winners"":18,""prizeYen"":11854600},{""tier"":3,""winners"":595,""prizeYen"":430300},{""tier"":4,""winners"":28282,""prizeYen"":7900},{""tier"":5,""winners"":400926,""prizeYen"":1000}]"
"loto6","41","2001-07-12","18 21 27 33 36 38","23","","36197335","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":3,""prizeYen"":70858500},{""tier"":3,""winners"":442,""prizeYen"":577100},{""tier"":4,""winners"":24295,""prizeYen"":9200},{""tier"":5,""winners"":379418,""prizeYen"":1000}]"
"loto6","42","2001-07-19","4 15 21 24 33 37","9","","0","[{""tier"":1,""winners"":2,""prizeYen"":134394100},{""tier"":2,""winners"":26,""prizeYen"":8051100},{""tier"":3,""winners"":622,""prizeYen"":403800},{""tier"":4,""winners"":27142,""prizeYen"":8100},{""tier"":5,""winners"":378546,""prizeYen"":1000}]"
"loto6","43","2001-07-26","1 2 3 15 24 26","27","","0","[{""tier"":1,""winners"":3,""prizeYen"":75848800},{""tier"":2,""winners"":9,""prizeYen"":22754400},{""tier"":3,""winners"":397,""prizeYen"":619000},{""tier"":4,""winners"":17837,""prizeYen"":12100},{""tier"":5,""winners"":322186,""prizeYen"":1000}]"
"loto6","44","2001-08-02","3 16 24 31 34 42","36","","0","[{""tier"":1,""winners"":3,""prizeYen"":74421300},{""tier"":2,""winners"":6,""prizeYen"":33489200},{""tier"":3,""winners"":448,""prizeYen"":538200},{""tier"":4,""winners"":19627,""prizeYen"":10800},{""tier"":5,""winners"":309756,""prizeYen"":1000}]"
"loto6","45","2001-08-09","7 9 28 32 36 38","8","","14489512","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":11,""prizeYen"":17548900},{""tier"":3,""winners"":330,""prizeYen"":701900},{""tier"":4,""winners"":16179,""prizeYen"":12600},{""tier"":5,""winners"":293971,""prizeYen"":1000}]"
"loto6","46","2001-08-16","11 14 21 24 25 42","41","","0","[{""tier"":1,""winners"":2,""prizeYen"":111752700},{""tier"":2,""winners"":7,""prizeYen"":26873200},{""tier"":3,""winners"":234,""prizeYen"":964600},{""tier"":4,""winners"":13933,""prizeYen"":14200},{""tier"":5,""winners"":276444,""prizeYen"":1000}]"
"loto6","47","2001-08-23","3 11 14 25 27 31","22","","0","[{""tier"":1,""winners"":5,""prizeYen"":40002200},{""tier"":2,""winners"":15,""prizeYen"":12000500},{""tier"":3,""winners"":557,""prizeYen"":387800},{""tier"":4,""winners"":27414,""prizeYen"":6900},{""tier"":5,""winners"":370999,""prizeYen"":1000}]"
"loto6","48","2001-08-30","2 5 28 30 33 40","26","","0","[{""tier"":1,""winners"":3,""prizeYen"":76260300},{""tier"":2,""winners"":7,""prizeYen"":29414400},{""tier"":3,""winners"":370,""prizeYen"":667700},{""tier"":4,""winners"":19683,""prizeYen"":11000},{""tier"":5,""winners"":332934,""prizeYen"":1000}]"
"loto6","49","2001-09-06","2 13 21 31 32 41","35","","0","[{""tier"":1,""winners"":2,""prizeYen"":118591400},{""tier"":2,""winners"":4,""prizeYen"":53365600},{""tier"":3,""winners"":390,""prizeYen"":656800},{""tier"":4,""winners"":18375,""prizeYen"":12200},{""tier"":5,""winners"":301244,""prizeYen"":1000}]"
"loto6","50","2001-09-13","5 13 15 25 27 39","40","","0","[{""tier"":1,""winners"":4,""prizeYen"":48427800},{""tier"":2,""winners"":19,""prizeYen"":9175700},{""tier"":3,""winners"":823,""prizeYen"":254200},{""tier"":4,""winners"":33048,""prizeYen"":5500},{""tier"":5,""winners"":426120,""prizeYen"":1000}]"
"loto6","51","2001-09-20","7 15 24 37 38 41","34","","0","[{""tier"":1,""winners"":7,""prizeYen"":29184600},{""tier"":2,""winners"":11,""prizeYen"":16714600},{""tier"":3,""winners"":821,""prizeYen"":268700},{""tier"":4,""winners"":30192,""prizeYen"":6400},{""tier"":5,""winners"":410150,""prizeYen"":1000}]"
"loto6","52","2001-09-27","1 16 24 25 36 42","21","","0","[{""tier"":1,""winners"":3,""prizeYen"":72304100},{""tier"":2,""winners"":19,""prizeYen"":10274700},{""tier"":3,""winners"":579,""prizeYen"":404500},{""tier"":4,""winners"":25193,""prizeYen"":8200},{""tier"":5,""winners"":366123,""prizeYen"":1000}]"
"loto6","53","2001-10-04","2 15 23 37 40 43","25","","0","[{""tier"":1,""winners"":6,""prizeYen"":36518100},{""tier"":2,""winners"":41,""prizeYen"":4809600},{""tier"":3,""winners"":900,""prizeYen"":262900},{""tier"":4,""winners"":26945,""prizeYen"":7700},{""tier"":5,""winners"":372118,""prizeYen"":1000}]"
"loto6","54","2001-10-11","14 25 26 31 37 42","7","","17333248","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":35,""prizeYen"":5588500},{""tier"":3,""winners"":481,""prizeYen"":487900},{""tier"":4,""winners"":24408,""prizeYen"":8400},{""tier"":5,""winners"":351230,""prizeYen"":1000}]"
"loto6","55","2001-10-18","11 12 13 14 37 39","28","","256384594","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":8,""prizeYen"":26893000},{""tier"":3,""winners"":316,""prizeYen"":817000},{""tier"":4,""winners"":18166,""prizeYen"":12500},{""tier"":5,""winners"":336327,""prizeYen"":1000}]"
"loto6","56","2001-10-25","10 13 25 31 32 42","40","","0","[{""tier"":1,""winners"":2,""prizeYen"":293594800},{""tier"":2,""winners"":22,""prizeYen"":13532800},{""tier"":3,""winners"":718,""prizeYen"":497500},{""tier"":4,""winners"":36905,""prizeYen"":8500},{""tier"":5,""winners"":567326,""prizeYen"":1000}]"
"loto6","57","2001-11-01","2 14 22 27 35 42","34","","0","[{""tier"":1,""winners"":14,""prizeYen"":17755700},{""tier"":2,""winners"":38,""prizeYen"":5887300},{""tier"":3,""winners"":1082,""prizeYen"":248100},{""tier"":4,""winners"":32221,""prizeYen"":7300},{""tier"":5,""winners"":418191,""prizeYen"":1000}]"
"loto6","58","2001-11-08","4 8 9 13 16 25","28","","0","[{""tier"":1,""winners"":2,""prizeYen"":116836200},{""tier"":2,""winners"":18,""prizeYen"":11683500},{""tier"":3,""winners"":552,""prizeYen"":457100},{""tier"":4,""winners"":28859,""prizeYen"":7700},{""tier"":5,""winners"":465006,""prizeYen"":1000}]"
"loto6","59","2001-11-15","9 15 17 30 32 41","31","","0","[{""tier"":1,""winners"":3,""prizeYen"":87561500},{""tier"":2,""winners"":9,""prizeYen"":26268200},{""tier"":3,""winners"":462,""prizeYen"":614000},{""tier"":4,""winners"":21725,""prizeYen"":11500},{""tier"":5,""winners"":357653,""prizeYen"":1000}]"
"loto6","60","2001-11-22","20 21 23 28 30 42","29","","76297998","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":5,""prizeYen"":49733200},{""tier"":3,""winners"":259,""prizeYen"":1152100},{""tier"":4,""winners"":15326,""prizeYen"":17100},{""tier"":5,""winners"":312457,""prizeYen"":1000}]"
"loto6","61","2001-11-29","4 8 22 25 27 28","6","","0","[{""tier"":1,""winners"":1,""prizeYen"":338406300},{""tier"":2,""winners"":22,""prizeYen"":10722500},{""tier"":3,""winners"":576,""prizeYen"":491400},{""tier"":4,""winners"":27302,""prizeYen"":9100},{""tier"":5,""winners"":433854,""prizeYen"":1000}]"
"loto6","62","2001-12-06","2 3 9 12 15 30","42","","0","[{""tier"":1,""winners"":5,""prizeYen"":47591800},{""tier"":2,""winners"":11,""prizeYen"":19469200},{""tier"":3,""winners"":700,""prizeYen"":367100},{""tier"":4,""winners"":31169,""prizeYen"":7200},{""tier"":5,""winners"":462949,""prizeYen"":1000}]"
"loto6","63","2001-12-13","11 16 20 28 34 40","22","","0","[{""tier"":1,""winners"":3,""prizeYen"":86096500},{""tier"":2,""winners"":30,""prizeYen"":7748600},{""tier"":3,""winners"":555,""prizeYen"":502600},{""tier"":4,""winners"":24051,""prizeYen"":10200},{""tier"":5,""winners"":363569,""prizeYen"":1000}]"
"loto6","64","2001-12-20","2 14 19 22 32 41","9","","0","[{""tier"":1,""winners"":4,""prizeYen"":63574100},{""tier"":2,""winners"":15,""prizeYen"":15257600},{""tier"":3,""winners"":495,""prizeYen"":554800},{""tier"":4,""winners"":24469,""prizeYen"":9900},{""tier"":5,""winners"":394115,""prizeYen"":1000}]"
"loto6","65","2001-12-27","2 10 22 23 31 43","28","","0","[{""tier"":1,""winners"":2,""prizeYen"":138826100},{""tier"":2,""winners"":11,""prizeYen"":22716800},{""tier"":3,""winners"":438,""prizeYen"":684600},{""tier"":4,""winners"":21072,""prizeYen"":12500},{""tier"":5,""winners"":363414,""prizeYen"":1000}]"
